team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season
frc1806,1538,9,4,4,1,15,0.6
frc1807,1773,2,1,0,1,15,0.13333333333333333
frc1810,1558,1,0,0,1,15,0.06666666666666667
frc1811,1546,0,0,0,0,15,0.0
frc1816,1694,1,0,0,1,15,0.06666666666666667
frc1817,1631,3,2,1,0,16,0.1875
frc1818,1498,0,0,0,0,15,0.0
frc1825,1572,0,0,0,0,15,0.0
frc1827,1448,0,0,0,0,15,0.0
frc1828,1491,0,0,0,0,15,0.0
frc1831,1469,2,1,1,0,17,0.11764705882352941
frc1836,1705,1,1,0,0,15,0.06666666666666667
frc1847,1454,0,0,0,0,15,0.0
frc1860,1589,1,1,0,0,15,0.06666666666666667
frc1868,1661,2,0,1,1,15,0.13333333333333333
frc1880,1605,1,0,0,1,15,0.06666666666666667
frc1884,1488,3,1,1,1,15,0.2
frc1885,1682,4,1,3,0,15,0.26666666666666666
frc1891,1553,0,0,0,0,15,0.0
frc1895,1575,0,0,0,0,15,0.0
frc1899,1506,1,0,0,1,15,0.06666666666666667
frc1902,1600,4,0,2,2,15,0.26666666666666666
frc1908,1523,0,0,0,0,15,0.0
frc1912,1570,1,1,0,0,15,0.06666666666666667
frc1915,1352,0,0,0,0,15,0.0
frc1918,1745,12,6,4,2,15,0.8
frc1922,1602,1,0,1,0,15,0.06666666666666667
frc1923,1691,5,2,0,3,15,0.3333333333333333
frc1927,1431,1,0,1,0,15,0.06666666666666667
frc1937,1680,1,0,0,1,15,0.06666666666666667
frc1939,1642,0,0,0,0,15,0.0
frc1940,1565,0,0,0,0,14,0.0
frc1942,1540,1,0,0,1,15,0.06666666666666667
frc1943,1531,0,0,0,0,15,0.0
frc1954,1445,0,0,0,0,12,0.0
frc1965,1458,0,0,0,0,15,0.0
frc1967,1496,1,1,0,0,15,0.06666666666666667
frc1972,1352,0,0,0,0,15,0.0
frc1977,1438,1,0,0,1,15,0.06666666666666667
frc1982,1550,1,0,0,1,14,0.07142857142857142
